partner,course,rating,reviewcount,level,certificatetype,duration,crediteligibility
IBM,Data Analysis and Visualization Foundations,4.7,19.3k,Beginner , Specialization , 3 - 6 Months,TRUE
DeepLearning.AI,Deep Learning,4.8,141.5k,Intermediate , Specialization , 3 - 6 Months,TRUE
IBM,IBM AI Foundations for Business,4.7,77.2k,Beginner , Specialization , 1 - 3 Months,FALSE
IBM,Data Engineering Foundations,4.6,45.1k,Beginner , Specialization , 3 - 6 Months,FALSE
IBM,IBM Back-End Development,4.6,36.7k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
IBM,Applied Data Science,4.6,48.5k,Beginner , Specialization , 3 - 6 Months,TRUE
IBM,IBM Applied AI,4.6,46.2k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Macquarie University,Excel Skills for Business,4.9,59k,Beginner , Specialization , 3 - 6 Months,FALSE
IBM,Applied Software Engineering Fundamentals,4.6,36k,Beginner , Specialization , 3 - 6 Months,FALSE
DeepLearning.AI,Generative AI with Large Language Models,4.8,1.3k,Intermediate , Course , 1 - 4 Weeks,FALSE
Google,Google Advanced Data Analytics,4.7,2.2k,Advanced , Professional Certificate , 3 - 6 Months,FALSE
IBM,"DevOps, Cloud, and Agile Foundations",4.7,7.7k,Beginner , Specialization , 3 - 6 Months,FALSE
Meta,Meta Front-End Developer,4.7,14.7k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
IBM,Cloud Application Development Foundations,4.6,6.1k,Beginner , Specialization , 3 - 6 Months,FALSE
Google,Foundations of Project Management,4.9,73.7k,Beginner , Course , 1 - 4 Weeks,FALSE
Google,Foundations of Cybersecurity,4.9,11.8k,Beginner , Course , 1 - 4 Weeks,FALSE
IBM,IBM IT Support,4.7,6.6k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Google,"Foundations: Data, Data, Everywhere",4.8,93.9k,Beginner , Course , 1 - 3 Months,FALSE
SkillUp EdTech,IBM IT Project Manager,4.8,2.4k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Google,Google IT Automation with Python,4.7,42k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
IBM,Information Technology (IT) and Cloud Fundamentals,4.7,6.1k,Beginner , Specialization , 3 - 6 Months,FALSE
Vanderbilt University,Prompt Engineering,4.8,1.8k,Beginner , Specialization , 1 - 3 Months,FALSE
Microsoft,Microsoft Power BI Data Analyst,4.6,907,Beginner , Professional Certificate , 3 - 6 Months,FALSE
IBM,IBM Data Warehouse Engineer,4.7,3.6k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
IBM,IBM Cybersecurity Analyst,4.6,21.7k,Beginner , Professional Certificate , 3 - 6 Months,TRUE
DeepLearning.AI,AI For Everyone,4.8,39.4k,Beginner , Course , 1 - 4 Weeks,FALSE
DeepLearning.AI,Supervised Machine Learning: Regression and Classification,4.9,15k,Beginner , Course , 1 - 4 Weeks,FALSE
IBM,IBM DevOps and Software Engineering,None,None,,None,None,FALSE
IBM,IBM Front-End Developer,4.6,1.6k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Google,Technical Support Fundamentals,4.8,145.6k,Beginner , Course , 1 - 3 Months,FALSE
University of Pennsylvania,Business Foundations,4.7,24.1k,Beginner , Specialization , 3 - 6 Months,FALSE
IBM,"BI Foundations with SQL, ETL and Data Warehousing",4.6,19.6k,Beginner , Specialization , 3 - 6 Months,FALSE
IBM,AI Foundations for Everyone,4.7,13.1k,Beginner , Specialization , 3 - 6 Months,FALSE
SkillUp EdTech,IBM IT Scrum Master,4.8,3.8k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
SkillUp EdTech,IBM Project Manager,4.8,1.8k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
IBM,IBM Applied DevOps Engineering,4.7,4.1k,Intermediate , Professional Certificate , 3 - 6 Months,FALSE
IBM,IBM AI Engineering,4.6,17.3k,Intermediate , Professional Certificate , 3 - 6 Months,FALSE
IBM,IT Fundamentals for Cybersecurity,4.6,19.6k,Beginner , Specialization , 3 - 6 Months,FALSE
DeepLearning.AI,Mathematics for Machine Learning and Data Science,4.6,1.3k,Beginner , Specialization , 1 - 3 Months,FALSE
University of Michigan,Python for Everybody,4.8,268.6k,Beginner , Specialization , 3 - 6 Months,FALSE
Meta,Meta React Native,4.7,6.7k,Beginner , Specialization , 3 - 6 Months,FALSE
Google,Project Execution: Running the Project,4.8,7.1k,Beginner , Course , 1 - 3 Months,FALSE
Coursera Project Network,Tableau Public for Project Management and Beyond,None,None,,None,None,FALSE
Meta,Meta Social Media Marketing,4.8,17.5k,Beginner , Professional Certificate , 3 - 6 Months,TRUE
Google,Foundations of Digital Marketing and E-commerce,4.8,15.6k,Beginner , Course , 1 - 4 Weeks,FALSE
Vanderbilt University,Prompt Engineering for ChatGPT,4.8,1.7k,Beginner , Course , 1 - 3 Months,FALSE
University of Pennsylvania,Finance & Quantitative Modeling for Analysts,4.5,15.7k,Beginner , Specialization , 3 - 6 Months,FALSE
University of Pennsylvania,Introduction to Finance and Accounting,4.6,12.9k,Beginner , Specialization , 3 - 6 Months,FALSE
Stanford University,AI in Healthcare,4.7,1.3k,Beginner , Specialization , 3 - 6 Months,FALSE
DeepLearning.AI,Machine Learning Engineering for Production (MLOps),4.7,3.3k,Advanced , Specialization , 3 - 6 Months,FALSE
Google,Play It Safe: Manage Security Risks,4.8,3.6k,Beginner , Course , 1 - 4 Weeks,FALSE
University of Michigan,Python 3 Programming,4.7,21.3k,Beginner , Specialization , 3 - 6 Months,FALSE
DeepLearning.AI,Natural Language Processing,4.6,5.5k,Intermediate , Specialization , 3 - 6 Months,FALSE
DeepLearning.AI,DeepLearning.AI TensorFlow Developer,4.7,24.3k,Intermediate , Professional Certificate , 3 - 6 Months,FALSE
Meta,Meta Back-End Developer,4.7,6.1k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Meta,Meta iOS Developer,4.7,4.9k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Google,Foundations of User Experience (UX) Design,4.8,60.4k,Beginner , Course , 1 - 4 Weeks,FALSE
Meta,Meta Android Developer,4.6,5.1k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
University of Pennsylvania,Business and Financial Modeling,4.5,10.6k,Beginner , Specialization , 3 - 6 Months,FALSE
University of Pennsylvania,AI For Business,4.7,400,Beginner , Specialization , 3 - 6 Months,FALSE
Google - Spectrum Sharing,Become a CBRS Certified Professional Installer by Google,4.6,184,Mixed , Course , 1 - 3 Months,FALSE
Intuit,Intuit Academy Bookkeeping,4.6,4.9k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Google,Google Business Intelligence,4.7,940,Advanced , Professional Certificate , 3 - 6 Months,FALSE
Google,Project Initiation: Starting a Successful Project,4.8,17.8k,Beginner , Course , 1 - 4 Weeks,FALSE
Google,Ask Questions to Make Data-Driven Decisions,4.7,28.7k,Beginner , Course , 1 - 4 Weeks,FALSE
Meta,Meta Database Engineer,4.6,4.4k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Microsoft,Microsoft Cybersecurity Analyst,4.8,566,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Google,Análisis de Datos de Google,4.8,6.7k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
University of Pennsylvania,Business Analytics,4.6,17.7k,Beginner , Specialization , 3 - 6 Months,FALSE
HRCI,HRCI Human Resource Associate,4.7,327,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Google,Connect and Protect: Networks and Network Security,4.8,2k,Beginner , Course , 1 - 4 Weeks,FALSE
Yale University,Financial Markets,4.8,26.1k,Beginner , Course , 1 - 3 Months,FALSE
Google,Ciberseguridad de Google,4.9,1k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
University of Alberta,Indigenous Canada,4.8,21.5k,Mixed , Course , 1 - 3 Months,FALSE
Google,The Bits and Bytes of Computer Networking,4.7,46.4k,Beginner , Course , 1 - 3 Months,FALSE
SAP,SAP Technology Consultant,4.7,494,Beginner , Professional Certificate , 3 - 6 Months,FALSE
IBM,IBM Machine Learning,4.6,1.9k,Intermediate , Professional Certificate , 3 - 6 Months,FALSE
Arizona State University,"TESOL Certificate, Part 1: Teach English Now!",4.9,16.9k,Beginner , Specialization , 3 - 6 Months,FALSE
Google Cloud,Preparing for Google Cloud Certification: Cloud Architect,4.7,57.9k,Intermediate , Professional Certificate , 3 - 6 Months,FALSE
IBM,IBM Introduction to Machine Learning,4.6,1.8k,Intermediate , Specialization , 3 - 6 Months,FALSE
DeepLearning.AI,Advanced Learning Algorithms,4.9,4k,Beginner , Course , 1 - 4 Weeks,FALSE
Google Cloud,Preparing for Google Cloud Certification: Cloud Engineer,4.7,57.7k,Intermediate , Professional Certificate , 3 - 6 Months,FALSE
Google Cloud,Architecting with Google Compute Engine,4.7,56.8k,Intermediate , Specialization , 3 - 6 Months,FALSE
Google,Prepare Data for Exploration,4.8,17.5k,Beginner , Course , 1 - 3 Months,FALSE
DeepLearning.AI,Neural Networks and Deep Learning,4.9,120.1k,Intermediate , Course , 1 - 4 Weeks,FALSE
Microsoft,Microsoft 365 Fundamentals,4.7,2.7k,Beginner , Specialization , 3 - 6 Months,FALSE
University of Virginia,Leading the Modern Day Business,4.7,19.3k,Beginner , Specialization , 3 - 6 Months,FALSE
Google,Gestión de Proyectos de Google,4.9,6k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
University of Virginia,Digital Product Management,4.7,9.1k,Beginner , Specialization , 3 - 6 Months,FALSE
SkillUp EdTech,Modern Project Management,4.6,108,Beginner , Specialization , 3 - 6 Months,FALSE
California Institute of the Arts,Graphic Design,4.7,19.9k,Beginner , Specialization , 3 - 6 Months,FALSE
IIMA - IIM Ahmedabad,Leadership Skills,4.8,850,Beginner , Course , 1 - 3 Months,FALSE
Georgia Institute of Technology,Improve Your English Communication Skills,4.7,25.9k,Beginner , Specialization , 3 - 6 Months,FALSE
University of Pennsylvania,The Materiality of ESG Factors,4.7,870,Beginner , Specialization , 3 - 6 Months,FALSE
University of Pennsylvania,Regulatory Compliance,4.8,2k,Intermediate , Specialization , 3 - 6 Months,FALSE
IBM,IBM Data Science,None,None,,None,None,FALSE
Google Cloud,Preparing for Google Cloud Certification: Machine Learning Engineer,4.6,25.5k,Intermediate , Professional Certificate , 3 - 6 Months,FALSE
Google,Tools of the Trade: Linux and SQL,4.8,1.6k,Beginner , Course , 1 - 4 Weeks,FALSE
Google Cloud,Preparing for Google Cloud Certification: Cloud DevOps Engineer,4.7,52.8k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Google Cloud,Google Cloud Database Engineer,4.7,47.6k,Intermediate , Specialization , 3 - 6 Months,FALSE
Google,Project Planning: Putting It All Together,4.8,10.6k,Beginner , Course , 1 - 3 Months,FALSE
Yale University,The Science of Well-Being,4.9,36.9k,Mixed , Course , 1 - 3 Months,FALSE
Amazon Web Services,AWS Cloud Technology Consultant,4.8,4.4k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Google Cloud,Architecting with Google Kubernetes Engine,4.7,48.8k,Beginner , Specialization , 3 - 6 Months,FALSE
Stanford University,Writing in the Sciences,4.9,8.1k,Beginner , Course , 1 - 3 Months,FALSE
University of Pennsylvania,Foundations of Positive Psychology,4.8,7.4k,Beginner , Specialization , 3 - 6 Months,FALSE
Google,"Start the UX Design Process: Empathize, Define, and Ideate",4.8,13.5k,Beginner , Course , 1 - 4 Weeks,FALSE
Google Cloud,Preparing for Google Cloud Certification: Cloud Developer,4.7,51.2k,Intermediate , Professional Certificate , 3 - 6 Months,FALSE
IBM,What is Data Science?,4.7,66.2k,Beginner , Course , 1 - 4 Weeks,FALSE
Google,Attract and Engage Customers with Digital Marketing,4.8,4.2k,Beginner , Course , 1 - 4 Weeks,FALSE
Amazon Web Services,AWS Cloud Solutions Architect,4.8,4.7k,Intermediate , Professional Certificate , 3 - 6 Months,FALSE
"University of California, Davis",Learn SQL Basics for Data Science,4.6,16.6k,Beginner , Specialization , 3 - 6 Months,FALSE
Yale University,Introduction to Psychology,4.9,27.1k,Beginner , Course , 1 - 3 Months,FALSE
Columbia University,Construction Management,4.7,8k,Beginner , Specialization , 3 - 6 Months,FALSE
Salesforce,Salesforce Sales Operations,4.6,1.1k,Beginner , Professional Certificate , 3 - 6 Months,TRUE
Google Cloud,Preparing for Google Cloud Certification: Cloud Security Engineer,4.7,48.8k,Intermediate , Professional Certificate , 3 - 6 Months,FALSE
Amazon Web Services,AWS Fundamentals,4.8,4.5k,Beginner , Specialization , 3 - 6 Months,FALSE
PwC,Data Analysis and Presentation Skills: the PwC Approach,4.6,10.6k,Beginner , Specialization , 3 - 6 Months,FALSE
Google Cloud,Developing Applications with Google Cloud,4.7,48.3k,Intermediate , Specialization , 3 - 6 Months,FALSE
Rutgers the State University of New Jersey,Supply Chain Management,4.7,13.8k,Beginner , Specialization , 3 - 6 Months,FALSE
Google,Google Marketing Digital e E-Commerce,4.9,715,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Google Cloud,Preparing for Google Cloud Certification: Cloud Data Engineer,4.6,18.2k,Intermediate , Professional Certificate , 3 - 6 Months,FALSE
Google,Diseño de Experiencia del Usuario (UX) de Google,4.9,3.2k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Google Cloud,Preparing for Google Cloud Certification: Cloud Network Engineer,4.7,48.2k,Intermediate , Professional Certificate , 3 - 6 Months,FALSE
Google Cloud,Security in Google Cloud,4.7,48k,Intermediate , Specialization , 3 - 6 Months,FALSE
Google Cloud,Networking in Google Cloud,4.7,48.2k,Intermediate , Specialization , 3 - 6 Months,FALSE
IBM,Security Analyst Fundamentals,4.7,3.6k,Beginner , Specialization , 3 - 6 Months,FALSE
Stanford University,Introduction to Statistics,4.6,2.6k,Beginner , Course , 1 - 3 Months,FALSE
IBM,Introduction to Data Analytics,4.8,13.5k,Beginner , Course , 1 - 3 Months,FALSE
Google Cloud,Introduction to Generative AI,4.6,1.9k,Beginner , Course , 1 - 4 Weeks,FALSE
IBM,IBM Data Analyst,None,None,,None,None,FALSE
Google Cloud,"Data Engineering, Big Data, and Machine Learning on GCP",4.6,17.9k,Intermediate , Specialization , 3 - 6 Months,FALSE
Arizona State University,Arizona State University TESOL,4.9,18.1k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Amazon Web Services,DevOps on AWS,4.8,4.6k,Intermediate , Specialization , 1 - 3 Months,FALSE
Google,Process Data from Dirty to Clean,4.8,13.3k,Beginner , Course , 1 - 3 Months,FALSE
Google,Agile Project Management,4.8,10.4k,Beginner , Course , 1 - 4 Weeks,FALSE
Microsoft,Microsoft Azure Data Engineering Associate (DP-203),4.4,785,Intermediate , Professional Certificate , 3 - 6 Months,FALSE
Google,Operating Systems and You: Becoming a Power User,4.7,26.5k,Beginner , Course , 1 - 3 Months,FALSE
DeepLearning.AI,Linear Algebra for Machine Learning and Data Science,4.5,940,Beginner , Course , 1 - 4 Weeks,FALSE
IBM,Generative AI Fundamentals,4.6,12,Beginner , Specialization , 1 - 3 Months,FALSE
Vanderbilt University,ChatGPT Advanced Data Analysis,4.9,93,Beginner , Course , 1 - 3 Months,FALSE
University of Virginia,Business Strategy,4.8,4k,Beginner , Specialization , 3 - 6 Months,FALSE
University of Illinois at Urbana-Champaign,Digital Marketing,4.7,22.4k,Beginner , Specialization , 3 - 6 Months,TRUE
Johns Hopkins University,"HTML, CSS, and Javascript for Web Developers",4.7,15.9k,Mixed , Course , 1 - 3 Months,FALSE
University of Pennsylvania,Entrepreneurship,4.8,5.3k,Beginner , Specialization , 3 - 6 Months,FALSE
"University of California, Davis",Search Engine Optimization (SEO),4.6,12.1k,Beginner , Specialization , 3 - 6 Months,FALSE
DeepLearning.AI,"Unsupervised Learning, Recommenders, Reinforcement Learning",4.9,2k,Beginner , Course , 1 - 4 Weeks,FALSE
IBM,"NoSQL, Big Data, and Spark Foundations",4.4,452,Beginner , Specialization , 3 - 6 Months,FALSE
IBM,"Python for Data Science, AI & Development",4.6,34k,Beginner , Course , 1 - 3 Months,FALSE
Duke University,AI Product Management,4.7,350,Beginner , Specialization , 3 - 6 Months,FALSE
Google,Crash Course on Python,4.8,34.5k,Beginner , Course , 1 - 3 Months,FALSE
Google,Google IT Support,None,None,,None,None,FALSE
University of California San Diego,Data Structures and Algorithms,4.6,16.2k,Intermediate , Specialization , 3 - 6 Months,FALSE
ISC2,Certified in Cybersecurity,4.8,382,Beginner , Specialization , 3 - 6 Months,FALSE
Johns Hopkins University,Data Science,4.5,50.3k,Beginner , Specialization , 3 - 6 Months,FALSE
DeepLearning.AI,Generative Adversarial Networks (GANs),4.7,2.1k,Intermediate , Specialization , 1 - 3 Months,FALSE
Google,"Assets, Threats, and Vulnerabilities",4.8,1k,Beginner , Course , 1 - 4 Weeks,FALSE
Johns Hopkins University,Genomic Data Science,4.5,6.1k,Intermediate , Specialization , 3 - 6 Months,FALSE
Google,Cybersécurité Google,4.7,33,Beginner , Professional Certificate , 3 - 6 Months,FALSE
University of Illinois at Urbana-Champaign,U.S. Federal Taxation,4.8,822,Intermediate , Specialization , 3 - 6 Months,TRUE
Stanford University,Algorithms,4.8,5.8k,Intermediate , Specialization , 3 - 6 Months,FALSE
MedCerts,Medical Billing and Coding Fundamentals,4.8,188,Beginner , Specialization , 3 - 6 Months,FALSE
DeepLearning.AI,TensorFlow: Advanced Techniques,4.8,1.4k,Intermediate , Specialization , 3 - 6 Months,FALSE
University of Michigan,Applied Data Science with Python,4.5,33.5k,Intermediate , Specialization , 3 - 6 Months,FALSE
Imperial College London,Mathematics for Machine Learning,4.6,14k,Beginner , Specialization , 3 - 6 Months,FALSE
University of Alberta,Reinforcement Learning,4.7,3.3k,Intermediate , Specialization , 3 - 6 Months,FALSE
University of Illinois at Urbana-Champaign,Mergers and Acquisitions,4.6,249,Intermediate , Specialization , 3 - 6 Months,TRUE
University of Michigan,Leading People and Teams,4.7,10.2k,Beginner , Specialization , 3 - 6 Months,FALSE
University of Virginia,Fundamentals of Project Planning and Management,4.7,9.3k,Beginner , Course , 1 - 4 Weeks,FALSE
IBM,IBM Full Stack Software Developer,None,None,,None,None,FALSE
University of Pennsylvania,The Business of Health Care,4.6,1.7k,Beginner , Specialization , 3 - 6 Months,FALSE
DeepLearning.AI,AI for Good,4.8,160,Beginner , Specialization , 1 - 3 Months,FALSE
Google,Analyze Data to Answer Questions,4.6,9.6k,Beginner , Course , 1 - 4 Weeks,FALSE
Johns Hopkins University,Data Science: Foundations using R,4.6,47.7k,Beginner , Specialization , 3 - 6 Months,FALSE
Meta,Meta Marketing Analytics,4.7,2.1k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Measure What Matters,OKR Certification: Leadership and Goal Setting,4.8,320,Beginner , Course , 1 - 4 Weeks,FALSE
IBM,Introduction to Artificial Intelligence (AI),4.7,11.7k,Beginner , Course , 1 - 4 Weeks,FALSE
University of Pennsylvania,Achieving Personal and Professional Success,4.7,3k,Beginner , Specialization , 3 - 6 Months,FALSE
IBM,People and Soft Skills for Professional and Personal Success,4.6,641,Beginner , Specialization , 1 - 3 Months,FALSE
Johns Hopkins University,Business Analytics with Excel: Elementary to Advanced,4.8,1.1k,Intermediate , Course , 1 - 3 Months,FALSE
Google,System Administration and IT Infrastructure Services,4.7,23.7k,Beginner , Course , 1 - 3 Months,FALSE
University of Michigan,Successful Negotiation: Essential Strategies and Skills,4.8,18.8k,Beginner , Course , 1 - 3 Months,FALSE
Columbia University,Financial Engineering and Risk Management,4.5,207,Intermediate , Specialization , 3 - 6 Months,FALSE
University of Pennsylvania,Introduction to Programming with Python and Java,4.4,1.5k,Beginner , Specialization , 3 - 6 Months,FALSE
University of Virginia,Entrepreneurship: Growing Your Business,4.8,7.1k,Beginner , Specialization , 3 - 6 Months,FALSE
IESE Business School,Think like a CFO,4.8,5.7k,Beginner , Specialization , 3 - 6 Months,FALSE
University of Pennsylvania,Fintech: Foundations & Applications of Financial Technology,4.6,3.5k,Beginner , Specialization , 3 - 6 Months,FALSE
Johns Hopkins University,Psychological First Aid,4.8,18.4k,Mixed , Course , 1 - 3 Months,FALSE
Google,Google Data Analytics (PT),4.9,2.9k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
MedCerts,Pharmacy Technician Fundamentals,4.7,126,Beginner , Specialization , 3 - 6 Months,FALSE
IBM,Tools for Data Science,4.5,27.6k,Beginner , Course , 1 - 3 Months,FALSE
Multiple educators,Practical Data Science on the AWS Cloud,4.5,524,Advanced , Specialization , 1 - 3 Months,FALSE
Università Bocconi,Private Equity and Venture Capital,4.8,7.8k,Mixed , Course , 1 - 3 Months,FALSE
Google,Foundations of Business Intelligence,4.8,670,Advanced , Course , 1 - 4 Weeks,FALSE
"University of California, Davis",Geographic Information Systems  (GIS),4.8,5.8k,Beginner , Specialization , 3 - 6 Months,FALSE
University of Minnesota,Human Resource Management: HR for People Managers,4.8,13.8k,Beginner , Specialization , 3 - 6 Months,FALSE
Yale University,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,4.9,4.7k,Mixed , Course , 1 - 3 Months,FALSE
University of Alberta,Software Product Management,4.7,11.3k,Beginner , Specialization , 3 - 6 Months,FALSE
"University of California, Irvine",Project Management & Other Tools for Career Development,4.7,34.9k,Beginner , Specialization , 3 - 6 Months,FALSE
"University of Maryland, College Park","Product Ideation, Design, and Management",4.5,470,Beginner , Specialization , 3 - 6 Months,FALSE
IBM,Excel Basics for Data Analysis,4.8,6.7k,Beginner , Course , 1 - 3 Months,FALSE
"University of California, Irvine",UCI Project Management,4.7,276,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Google Cloud,Getting started with Google Workspace,4.7,1.3k,Beginner , Specialization , 3 - 6 Months,FALSE
Stanford University,Organizational Analysis,4.6,1.4k,Beginner , Course , 1 - 3 Months,FALSE
Google,Google Data Analytics,4.5,115,Beginner , Professional Certificate , 3 - 6 Months,FALSE
University of Michigan,Programming for Everybody (Getting Started with Python),4.8,224.9k,Beginner , Course , 1 - 3 Months,FALSE
University of Illinois at Urbana-Champaign,Instructional Design Foundations and Applications,4,638,Mixed , Course , 1 - 3 Months,FALSE
DeepLearning.AI,Generative AI for Everyone,None,None,Course,None,None,FALSE
DeepLearning.AI,"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",4.9,62.6k,Intermediate , Course , 1 - 4 Weeks,FALSE
Google,Share Data Through the Art of Visualization,4.6,7.7k,Beginner , Course , 1 - 4 Weeks,FALSE
DeepLearning.AI,AI for Medicine,4.7,2.2k,Intermediate , Specialization , 1 - 3 Months,FALSE
Google,Foundations of Data Science,4.7,1.3k,Advanced , Course , 1 - 3 Months,FALSE
Google,Sound the Alarm: Detection and Response,4.8,746,Beginner , Course , 1 - 4 Weeks,FALSE
Microsoft,Microsoft Azure Fundamentals AZ-900 Exam Prep,4.6,2.4k,Beginner , Specialization , 3 - 6 Months,FALSE
University of Colorado Boulder,Project Management,4.8,452,Beginner , Specialization , 1 - 3 Months,FALSE
Stanford University,Game Theory,4.6,4.5k,Beginner , Course , 1 - 3 Months,FALSE
California Institute of the Arts,UI / UX Design,4.7,7.2k,Beginner , Specialization , 3 - 6 Months,FALSE
IESE Business School,Foundations of Management,4.8,4.7k,Beginner , Specialization , 3 - 6 Months,FALSE
Intuit,Bookkeeping Basics,4.6,4k,Beginner , Course , 1 - 4 Weeks,FALSE
LearnQuest,Scrum Master Certification,4.7,2.5k,Beginner , Specialization , 3 - 6 Months,FALSE
University of Illinois at Urbana-Champaign,Financial Analysis - Skills for Success,4.7,160,Beginner , Specialization , 1 - 3 Months,FALSE
Google,From Likes to Leads: Interact with Customers Online,4.8,2.1k,Beginner , Course , 1 - 3 Months,FALSE
Google Cloud,Google Professional Workspace Administrator,4.7,2.9k,Beginner , Professional Certificate , 1 - 4 Weeks,FALSE
Google,Data Analysis with R Programming,4.8,8.7k,Beginner , Course , 1 - 3 Months,FALSE
Yale University,Connected Leadership,4.8,247,Beginner , Course , 1 - 3 Months,FALSE
Tableau Learning Partner,Tableau Business Intelligence Analyst,4.8,97,Beginner , Professional Certificate , 3 - 6 Months,FALSE
IBM,Applied Data Science with R,4.5,803,Beginner , Specialization , 3 - 6 Months,FALSE
Stanford University,Stanford Introduction to Food and Health,4.7,30.2k,Beginner , Course , 1 - 3 Months,FALSE
IBM,IBM DevOps and Software Engineering,None,None,,None,None,FALSE
Google,Google Project Management,4.6,149,Beginner , Professional Certificate , 3 - 6 Months,FALSE
University of Virginia,Artificial Intelligence in Marketing,4.5,146,Beginner , Course , 1 - 4 Weeks,FALSE
IBM,Introduction to Cloud Computing,4.6,4.7k,Beginner , Course , 1 - 3 Months,FALSE
Johns Hopkins University,Clinical Trials Operations,4.8,217,Beginner , Specialization , 3 - 6 Months,FALSE
"University of California, Irvine",Project Management Principles and Practices,4.7,28.8k,Beginner , Specialization , 3 - 6 Months,FALSE
Università Bocconi,Management of Fashion and Luxury Companies,4.7,5.6k,Mixed , Course , 1 - 3 Months,FALSE
Google,Soporte de Tecnologías de la Información de Google,4.9,14.7k,Beginner , Professional Certificate , 3 - 6 Months,FALSE
Wesleyan University,Creative Writing,4.6,5.8k,Beginner , Specialization , 3 - 6 Months,FALSE
DeepLearning.AI,Introduction to Machine Learning in Production,4.8,2.6k,Advanced , Course , 1 - 4 Weeks,FALSE
Macquarie University,"Influencing: Storytelling, Change Management and Governance",4.8,3.6k,Beginner , Specialization , 3 - 6 Months,FALSE
Google,Automate Cybersecurity Tasks with Python,4.8,726,Beginner , Course , 1 - 4 Weeks,FALSE
Google,IT Security: Defense against the digital dark arts,4.8,21k,Beginner , Course , 1 - 3 Months,FALSE
Johns Hopkins University,Principles of Management,4.7,206,Mixed , Course , 1 - 4 Weeks,FALSE
Google,Build Wireframes and Low-Fidelity Prototypes,4.9,7.6k,Beginner , Course , 1 - 4 Weeks,FALSE
